"Domicilio","Padron","Votantes"
"MALVINAS","Mendiolaza",45
"PUBLICA","Mendiolaza",40
"COLON","Mendiolaza",31
"ESPAÑA","Mendiolaza",31
"JOSE DE CALASANZ","Mendiolaza",31
"JOSE DE CALASANZ 597","Mendiolaza",25
"AV ARGENTINA","Mendiolaza",22
"CORDOBA","Mendiolaza",21
"JOSE DE CALASANZ 1070","Mendiolaza",20
"16 6","Mendiolaza",19
"6","Mendiolaza",19
"LOS ROBLES","Mendiolaza",19
"6 33","Mendiolaza",17
"9 29","Mendiolaza",14
"10 27","Mendiolaza",13
"9","Mendiolaza",13
"PEDRO 10","Mendiolaza",12
"AV TISSERA","Mendiolaza",10
"LAS MERCEDES","Mendiolaza",10
"LOS COCOS","Mendiolaza",10
"JERONIMO LUIS DE CABRERA 256","Villa Allende",141
"CHACABUCO 201","Villa Allende",66
"PASO DE LOS ANDES 0","Villa Allende",43
"PASO DE LOS ANDES 501","Villa Allende",43
"BARCELONA 2084","Villa Allende",25
"JERONIMO LUIS DE CABRERA 0","Villa Allende",24
"DUARTE QUIROS 434","Villa Allende",21
"SAN CLEMENTE 1614","Villa Allende",20
"CHACABUCO 0","Villa Allende",19
"PJE ALBERTI 251","Villa Allende",18
"DUARTE QUIROS 474","Villa Allende",16
"JERONIMO LUIS DE CABRERA 1050","Villa Allende",16
"JERONIMO LUIS DE CABRERA S/N","Villa Allende",15
"SAN CLEMENTE 1900","Villa Allende",15
"AV GOYCOECHEA 1377","Villa Allende",14
"JERONIMO LUIS DE CABRERA 835","Villa Allende",14
"VELEZ SARSFIELD 1152","Villa Allende",14
"DUARTE QUIROS 321","Villa Allende",13
"LOS ANDES 1184","Villa Allende",13
"MAIPU 42","Villa Allende",13
"MALABRIGO","Colonia Caroya",33
"MALABRIGO 0","Colonia Caroya",17
"LOTE 16 B 0","Colonia Caroya",16
"DON BOSCO 2855","Colonia Caroya",13
"LOTE 16 B","Colonia Caroya",13
"LOTE 37 'C'","Colonia Caroya",11
"LOTE 37 C 0","Colonia Caroya",11
"LOTE 16 'B'","Colonia Caroya",10
"LOTE 24 D 0","Colonia Caroya",10
"LOTE 7 D","Colonia Caroya",10
"B°LOS ALAMOS","Colonia Caroya",9
"LOTE 29 A 0","Colonia Caroya",9
"LOTE 56 A 0","Colonia Caroya",9
"PUBLICA 0","Colonia Caroya",9
"RUTA 9 KM 748 0","Colonia Caroya",9
"B°LOS ALAMOS 0","Colonia Caroya",8
"DON BOSCO 4216","Colonia Caroya",8
"LOS QUEBRACHOS 0","Colonia Caroya",8
"CALLE 136 LOTE 29 A 0","Colonia Caroya",7
"DON BOSCO 482","Colonia Caroya",7
"ZONA RURAL - DNI","Hernando",98
"ZONA RURAL -","Hernando",64
"ZONA RURAL S/N - DNI","Hernando",26
"ZONA RURAL - DNID","Hernando",21
"Z RURAL -","Hernando",19
"S/DOM - DNI","Hernando",17
"ZONA RURAL 0 - DNI-EA","Hernando",17
"S/DOM -","Hernando",14
"SIN DOM - DNI","Hernando",13
"GUEMES S/N - DNI","Hernando",12
"SARMIENTO S/N -","Hernando",10
"ZONA RURAL 0 - DNI-EB","Hernando",10
"ESPAÑA S/N -","Hernando",9
"Z RURAL - DNI","Hernando",9
"Z RURAL - DNID","Hernando",9
"ALBERDI S/N -","Hernando",8
"S/C S/N -","Hernando",8
"ZONA RURAL - DNI-EA","Hernando",8
"COCHABAMBA S/N - DNI","Hernando",7
"SARMIENTO 186 - DNI","Hernando",7
"ZONA RURAL 0","La Puerta",98
"RADIO URBANO 0","La Puerta",52
"COLON 0","La Puerta",38
"ZONA URBANA 0","La Puerta",31
"9 DE JULIO 0","La Puerta",26
"LAS HERAS 0","La Puerta",22
"LOS ALPES 0","La Puerta",20
"LAMADRID 0","La Puerta",18
"PEDRO GOYENA 0","La Puerta",18
"ZONA URBANA","La Puerta",17
"SAN LORENZO 0","La Puerta",16
"SIN DOM 0","La Puerta",16
"Z RURAL","La Puerta",16
"Z RURAL 0","La Puerta",16
"25 DE MAYO 0","La Puerta",14
"RADIO URBANO","La Puerta",14
"ZONA RURAL","La Puerta",14
"DERQUI 0","La Puerta",13
"URQUIZA 0","La Puerta",12
"GRAL URQUIZA 0","La Puerta",11
"PUBLICA 0 DNI-EA","San Pedro San Alberto",129
"PUBLICA","San Pedro San Alberto",67
"S/DOM DNI","San Pedro San Alberto",59
"S/DOM","San Pedro San Alberto",57
"SIN DOM 0 DNI","San Pedro San Alberto",40
"CNEL OLMEDO","San Pedro San Alberto",30
"S/DOM 0 DNI","San Pedro San Alberto",28
"SIN DOM","San Pedro San Alberto",27
"PEDRO G GUTIERREZ","San Pedro San Alberto",25
"CHACABUCO","San Pedro San Alberto",24
"SIXTO NIETO","San Pedro San Alberto",24
"SALOMON SABAS","San Pedro San Alberto",20
"CORONEL OLMEDO","San Pedro San Alberto",19
"25 DE MAYO","San Pedro San Alberto",18
"INDEPENDENCIA","San Pedro San Alberto",18
"JOSE AHUMADA TORRES","San Pedro San Alberto",18
"LIBERTAD","San Pedro San Alberto",18
"PUBLICA 0 DNI","San Pedro San Alberto",16
"VELEZ SARSFIELD","San Pedro San Alberto",16
"CECILIA FUNES","San Pedro San Alberto",15
"ZONA RURAL 0","Sacanta",221
"Z RURAL 0","Sacanta",43
"CORRIENTES 0","Sacanta",40
"ZONA URBANA 0","Sacanta",31
"SIN DOM 0","Sacanta",30
"ZONA RURAL","Sacanta",25
"DR TULA SORIA 0","Sacanta",24
"FORMOSA 0","Sacanta",22
"SIN CALLE 0","Sacanta",22
"RVDO TABORDA 0","Sacanta",21
"ENTRE RIOS 0","Sacanta",20
"CHACABUCO 0","Sacanta",15
"MAIPU 0","Sacanta",15
"CHACO 0","Sacanta",14
"MENDOZA 0","Sacanta",14
"MISIONES 0","Sacanta",11
"Z URBANA 0","Sacanta",11
"GRAL ROCA 0","Sacanta",10
"RADIO URBANO 0","Sacanta",10
"DR.TULA SORIA 0","Sacanta",9
"ZONA RURAL","Corral de Bustos",24
"ZONA RURAL 0","Corral de Bustos",16
"CORRIENTES 743","Corral de Bustos",14
"CHACABUCO 717","Corral de Bustos",11
"MONTEVIDEO 456","Corral de Bustos",9
"RIOJA S/N","Corral de Bustos",9
"AV ARGENTINA S/N","Corral de Bustos",8
"CORRIENTES 235","Corral de Bustos",8
"LIBERTAD S/N","Corral de Bustos",8
"ALSINA 67","Corral de Bustos",7
"CHACABUCO 166","Corral de Bustos",7
"COLON 179","Corral de Bustos",7
"CORDOBA 265","Corral de Bustos",7
"ENTRE RIOS 701","Corral de Bustos",7
"LAVALLE 63","Corral de Bustos",7
"MITRE 564","Corral de Bustos",7
"SAN LORENZO 836","Corral de Bustos",7
"AV ITALIA 591","Corral de Bustos",6
"CATAMARCA 1368","Corral de Bustos",6
"CATAMARCA 940","Corral de Bustos",6
"INMIGRANTES","Rio Ceballos",67
"SAN MARTIN","Rio Ceballos",50
"MARIO PLANTE","Rio Ceballos",48
"9 DE JULIO","Rio Ceballos",43
"12 DE OCTUBRE","Rio Ceballos",40
"1 DE MAYO","Rio Ceballos",39
"PARAGUAY","Rio Ceballos",39
"SCHIAFFINO","Rio Ceballos",38
"PUBLICA","Rio Ceballos",37
"SARGENTO CABRAL 333","Rio Ceballos",35
"URUGUAY","Rio Ceballos",31
"BAMBA","Rio Ceballos",30
"SAN MARTIN 7126","Rio Ceballos",29
"CASTELLI","Rio Ceballos",27
"ALMIRANTE BROWN","Rio Ceballos",25
"LINCOLN","Rio Ceballos",23
"CNO PAJAS BLANCAS KM 22","Rio Ceballos",22
"ARTURO NORIEGA","Rio Ceballos",20
"CNO PAJAS BLANCAS KM 26","Rio Ceballos",20
"SAAVEDRA 593","Rio Ceballos",18
